PACK_NAME,NEW_DEFINITION,AUGMENT_DEFINITION,PARENT_DIRECTORY
Predis,TRUE,FALSE,PHP
Puma,TRUE,FALSE,Ruby
Puppet,TRUE,FALSE,
pylibmc,TRUE,FALSE,Python
pylons,TRUE,FALSE,Python
PyMongo,TRUE,FALSE,Python
pyramid,TRUE,FALSE,Python
PySQLite,TRUE,FALSE,Python
pywapi,TRUE,FALSE,Python
Rack,TRUE,FALSE,Ruby
Rainbows!,TRUE,FALSE,Ruby
Rake,TRUE,FALSE,Ruby
Red Hat Enterprise Linux,TRUE,FALSE,Redhat
Red Hat OpenShift,TRUE,FALSE,Redhat
Resin,TRUE,FALSE,Java
Resque,TRUE,FALSE,Ruby
RESTeasy,TRUE,FALSE,Java
Restify,TRUE,FALSE,Node.js
RestSharp,TRUE,FALSE,.NET
Roku,TRUE,FALSE,
Ruby,TRUE,FALSE,Ruby
Sanic,TRUE,FALSE,Python
Scala,TRUE,FALSE,Java
Sequel,TRUE,FALSE,Ruby
ServiceStack,TRUE,FALSE,.NET
Sidekiq,TRUE,FALSE,Ruby
SIGNL4,TRUE,FALSE,
Silex,TRUE,FALSE,PHP
Silverlight,TRUE,FALSE,.NET
Sinatra,TRUE,FALSE,Ruby
Slack,TRUE,FALSE,
Slick,TRUE,FALSE,Java
Slim,TRUE,FALSE,PHP
SNMP,TRUE,FALSE,
Solr,TRUE,FALSE,Java
Split,TRUE,FALSE,
Spray-can,TRUE,FALSE,Java
Spring,TRUE,FALSE,Java
Spring-JMS,TRUE,FALSE,Java
Spring.net,TRUE,FALSE,.NET
SpyMemcached,TRUE,FALSE,Java
SQLite,TRUE,FALSE,PHP
StatsD,TRUE,FALSE,
Struts,TRUE,FALSE,Java
Sunspot,TRUE,FALSE,Ruby
SUSE Linux Enterprise Server,TRUE,FALSE,
Sybase,TRUE,FALSE,
Symfony,TRUE,FALSE,PHP
tastypie,TRUE,FALSE,Python
Thin,TRUE,FALSE,Ruby
Thrift,TRUE,FALSE,Java
Tomcat,TRUE,FALSE,Java
